Facility,Status,Capacity (MW),Location,Owner,Developer,Energy Purchaser,Turbine Mfg.,No. of Turbines,Commercial Online Date,Wind Power Class,Wind Speed Range - 80m,Wind Speed Range - 100m,Offshore Wind Speed Range - 90m
Stanton Energy Center,In Service,120,Martin County TX,Invenergy,Invenergy,,GE Energy,80,2008,3,7.5 - 8,7.5 - 8,
Star Point Wind Farm,In Service,98.7,Near Moro OR,Iberdrola Renewables,Iberdrola Renewables,Modesto Irrigation District,Suzlon Energy Company,47,2010,2,6 - 6.5,6 - 6.5,
Wind Energy Education Center,In Service,0.66,IA State Fairgrounds IA,MidAmerican Energy,MidAmerican Energy,Iowa State Fair,Vestas,1,2007,3,6 - 6.5,6.5 - 7,
Stateline Expansion,In Service,39.6,Walla Walla County OR,NextEra Energy Resources,NextEra Energy Resources,PPM Energy Inc,Vestas,60,2002,5,6.5 - 7,7 - 7.5,
Stateline Wind Energy Project,In Service,176.88,Walla Walla County,NextEra Energy Resources,NextEra Energy Resources,PPM Energy Inc,Vestas,268,2001,5,6.5 - 7,7 - 7.5,
Stateline Wind Project,In Service,83.16,Umatilla County OR,NextEra Energy Resources,NextEra Energy Resources,PPM Energy Inc,Vestas,126,2001,5,7 - 7.5,7 - 7.5,
Steel Winds Wind Farm,In Service,20,Near Lackawanna NY,UPC Wind/BQ Energy,UPC Wind/BQ Energy,,Clipper,8,2007,5,7 - 7.5,7 - 7.5,
Steel Winds II,In Service,15,Lackawanna NY,First Wind,First Wind,Merchant,Clipper,6,2012,5,6.5 - 7,7 - 7.5,
Stetson Wind Expansion,In Service,25.5,Washington County ME,First Wind,First Wind,,GE Energy,17,2010,2,6 - 6.5,6 - 6.5,
Stetson Wind,In Service,57,Washington County ME,First Wind,First Wind,Market,GE Energy,38,2008,2,6 - 6.5,6 - 6.5,
Stoney Corners (Northern Power Systems),In Service,2.3,McBain MI,Heritage Sustainable Energy,Heritage Sustainable Energy,,Northern Power Systems,1,2011,3,6.5 - 7,6.5 - 7,
Stoney Corners - REpower,In Service,14,McBain MI,Heritage Sustainable Energy,Heritage Sustainable Energy,,REpower,7,2009,3,6 - 6.5,6.5 - 7,
Stoney Corners II (REpower),In Service,18.45,McBain MI,Heritage Sustainable Energy,Heritage Sustainable Energy,Traverse City Light & Power/Detroit Edison,REpower,9,2010,3,6.5 - 7,6.5 - 7,
Stoney Corners III,In Service,20.6,McBain MI,Heritage Sustainable Energy,Heritage Sustainable Energy,Consumers Energy,REPower (9) / Northern Power Systems (1),10,2011,3,6.5 - 7,6.5 - 7,
Stoney Corners Wind Farm,In Service,5,Missaukee County MI,Heritage Sustainable Energy,Heritage Sustainable Energy,DTE Energy,Fuhrlander,2,2008,3,6 - 6.5,6.5 - 7,
Stony Creek Wind Farm,In Service,52.5,Somerset County PA,E.ON Climate and Renewables,E.ON Climate and Renewables,,GE Energy,35,2009,5,6 - 6.5,6 - 6.5,
Storm Lake I,In Service,108.75,Buena Vista and Cherokee Counties IA,Edison Mission Group,GE Energy,MidAmerican Energy,Zond,145,1999,5,8 - 8.5,8.5 - 9,
Storm Lake II,In Service,79.5,Buena Vista and Cherokee Counties IA,AES Corp.,GE Energy,Alliant/IES Utilities,Zond,106,1999,5,8 - 8.5,8.5 - 9,
Story City Wind,In Service,1.5,Story City IA,Hamilton Wind Energy LLC,Clark Thompson,Story City Municipal Electric Utility,Goldwind,1,2011,4,7 - 7.5,7 - 7.5,
Story County Hospital,In Service,0.23,NV - Story County IA,Story County Hospital,Story County Hospital,Alliant/IES Utilities,Vestas,1,1993,3,6.5 - 7,7 - 7.5,
Story County,In Service,150,Story and Hardin Counties IA,NextEra Energy Resources,NextEra Energy Resources,,GE Energy,100,2008,4,7.5 - 8,8 - 8.5,
Story County Wind Project II,In Service,150,Story & Hardin Counties IA,NextEra Energy Resources,NextEra Energy Resources,,GE Energy,100,2009,4,7.5 - 8,8 - 8.5,
Streator Cayuga Ridge Wind Farm,In Service,300,Livingston County IL,Iberdrola Renewables,Iberdrola Renewables,TVA,Gamesa,150,2010,3,7 - 7.5,7.5 - 8,
Stuart Municipal Utilities,In Service,0.66,Stuart IA,Stuart Municipal Utilities,Stuart Municipal Utilities,Stuart Municipal Utilities,Vestas,1,2005,4,7.5 - 8,8 - 8.5,
Sunray I,In Service,9,TX,Valero,Valero,McKee Refinery for 34.5; Xcel Energy for remainder,GE Energy,6,2009,4,8.5 - 9,8.5 - 9,
Sunray II,In Service,40.5,TX,Valero,Valero,McKee Refinery for 34.5; Xcel Energy for remainder,GE Energy,27,2009,4,8.5 - 9,8.5 - 9,
Superior Farms,In Service,1,Dixon CA,Foundation Windpower,Foundation Windpower,Superior Farms,Mitsubishi,1,2012,3,6.5 - 7,6.5 - 7,
Sustainable Technologies Museum,In Service,2.5,IL,GSG 3 LLC,FPC/GSG Wind,ComEd,Clipper,1,2007,3,6.5 - 7,7 - 7.5,
Suzlon Project VII,In Service,4.2,Dumas TX,Suzlon Energy Company,Suzlon Energy Company,QF on SPP,Suzlon Energy Company,2,2011,4,8 - 8.5,8.5 - 9,
Swauk Valley,In Service,4.25,Ellensburg WA,McKinstry,McKinstry,,Gamesa,5,2012,3,6 - 6.5,6.5 - 7,
Sweetwater,In Service,37.5,Sweetwater TX,Babcock & Brown/Catamount,DKRW/Babcock & Brown,TXU Electric & Gas,GE Energy,25,2003,4,8 - 8.5,8.5 - 9,
Sweetwater #4a,In Service,135,Sweetwater TX,,Babcock & Brown/Catamount Energy,City of San Antonio Texas (Utility Company),Mitsubishi,135,2007,4,8 - 8.5,8.5 - 9,
Sweetwater #4b,In Service,105.8,Sweetwater TX,,Babcock & Brown/Catamount Energy,City of San Antonio Texas (Utility Company),Siemens,46,2007,4,8 - 8.5,8.5 - 9,
Sweetwater 5,In Service,80.5,Sweetwater TX,Babcock & Brown/Catamount Energy,Babcock & Brown/Catamount Energy,Market,Siemens,35,2007,4,8 - 8.5,8.5 - 9,
Sweetwater Phase II,In Service,91.5,Sweetwater TX,Babcock & Brown/Catamount,DKRW/Babcock & Brown/Catamount,Austin Energy,GE Energy,61,2005,4,8 - 8.5,8.5 - 9,
Sweetwater Phase III,In Service,135,Sweetwater TX,Babcock & Brown/Catamount,DKRW/Babcock & Brown/Catamount,CPS Energy/Austin Energy,GE Energy,90,2005,4,8 - 8.5,8.5 - 9,
TJ Automation,In Service,0.1,Archbold OH,TJ Automation,,TJ Automation,Northern Power Systems,1,2010,2,6 - 6.5,6.5 - 7,
Taconite Ridge,In Service,25,St. Louis County MN,Minnesota Power,Minnesota Power,Minnesota Power,Clipper,10,2008,2,6 - 6.5,6.5 - 7,
Talbot County DPW,In Service,0.3,Easton MD,Talbot County DPW,,Talbot County DPW,Clipper,3,2010,2,5 - 5.5,5.5 - 6,
Taloga Wind Farm,In Service,129.6,North of Taloga OK,Edison Mission Energy,Edison Mission Group,Oklahoma Gas & Electric,Mitsubishi,54,2012,3,6.5 - 7,7 - 7.5,
Tatanka Wind Project,In Service,88.5,McPherson County SD,Acciona Energy,Acciona Energy,,Acciona,59,2008,6,8 - 8.5,8.5 - 9,
Tatanka Wind Project,In Service,91.5,Dickey and McIntosh Counties ND,Acciona Energy,Acciona Energy,,Acciona,61,2008,6,8.5 - 9,9 - 9.5,
Teichert Aggregates,In Service,1.5,South of Tracy CA,Teichert Aggregates,Foundation Windpower,Teichert Aggregates,GE Energy,1,2010,1,4.5 - 5,4.5 - 5,
Testa Produce,In Service,0.75,Chicago IL,Testa Produce,Testa Produce,Testa Produce,Aeronautica,1,2011,2,6 - 6.5,6.5 - 7,
Texas State Technical College,In Service,2,Sweetwater TX,Texas State Technical College,Texas State Technical College,Texas State Technical College,DeWind,1,2008,3,7.5 - 8,8 - 8.5,
The City of Union City,In Service,1,Union City IL,Performance Services,,AEP - Indiana Michigan Power,Nordic,1,2010,3,6.5 - 7,7 - 7.5,
Tholen & Petersen,In Service,13.2,Tracy MN,,Tholen & Petersen,Xcel Energy,Vestas,8,2005,4,8 - 8.5,8.5 - 9,
Thousand Springs Wind Park,In Service,12,Twin Falls County ID,Exergy,Exergy,Idaho Power,GE Energy,8,2011,3,5 - 5.5,5.5 - 6,
Three D Metals Wind Turbine,In Service,0.1,Valley City OH,Three D Metals,,Three D Metals,Northern Power Systems,1,2009,2,5.5 - 6,6 - 6.5,
Three Mile Canyon,In Service,9.9,Morrow County OR,John Deere Wind,Momentum RE,PacifiCorp,Vestas,6,2009,3,5.5 - 6,6 - 6.5,
Threemile Canyon,In Service,9.9,Morrow County OR,John Deere Wind,John Deere Wind,PacifiCorp,Vestas,6,2009,3,5.5 - 6,6 - 6.5,
Timber Road II,In Service,99,Near Payne OH,Horizon Wind Energy,Horizon Wind Energy,American Electric Power Co. Inc.,Vestas,55,2010,3,6.5 - 7,7 - 7.5,
Tippecanoe Valley School Corp,In Service,0.9,Akron IN,Tippecanoe Valley School Corp,Performance Services,Tippecanoe Valley School Corp,PowerWind,1,2011,3,6.5 - 7,7 - 7.5,
Titan I,In Service,25,South of Ree Heights SD,BP Alternative Energy/Clipper,BP Alternative Energy/Clipper,Northwestern Energy,Clipper,10,2009,6,8.5 - 9,9 - 9.5,
Tjaden Farms,In Service,0.45,Charles City IA,Tjaden Farms,,Tjaden Farms,Bonus,1,2006,3,7 - 7.5,7.5 - 8,
Top Crop Wind Farm,In Service,102,Grundy/Livingston/La Salle Counties IL,Horizon-EDPR,Horizon-EDPR,,GE Energy,68,2009,3,7 - 7.5,7.5 - 8,
Top Crop Wind Farm (Phase II),In Service,198,Grundy County IL,Horizon-EDPR,Horizon-EDPR,,GE Energy,132,2010,2,7 - 7.5,7 - 7.5,
Top of Iowa II,In Service,80,Worth County IA,Iberdrola Renewables,Iberdrola Renewables,,Gamesa,40,2008,4,7.5 - 8,8 - 8.5,
Windy Dog I,In Service,1.25,Lake Benton MN,Windy Dog I LLC,,Xcel Energy,Suzlon Energy Company,1.25,2006,4,8 - 8.5,8.5 - 9,
Top of Iowa III,In Service,29.7,Worth County IA,Madison Gas & Electric,Midwest Renewable Energy Projects,Madison Gas & Electric,Vestas,18,2008,4,7.5 - 8,8 - 8.5,
Top of Iowa Wind Farm,In Service,80.1,Worth County IA,,Zilkha Renewable/Midwest Renewable,Alliant/IES Utilities,NEG Micon,89,2001,4,7.5 - 8,8 - 8.5,
Top of the World (GE),In Service,99,4 miles northeast of Glenrock WY,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,PacifiCorp,GE Energy,66,2010,4,7.5 - 8,8 - 8.5,
Top of the World (Siemens),In Service,101.2,4 miles northeast of Glenrock WY,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,PacifiCorp,Siemens,44,2010,4,7.5 - 8,8 - 8.5,
Town of Barnstable,In Service,0.2,Barnstable MA,Town of Barnstable,,Town of Barnstable,Northern Power Systems,1,2010,3,6.5 - 7,7 - 7.5,
Town of Richland,In Service,0.1,Richland NY,Sustainable Energy Development,,Town of Richland,Northern Power Systems,1,2010,2,5 - 5.5,5.5 - 6,
Traer Wind,In Service,1.5,Traer IA,Norsemen Wind Energy LLC,Clark Thompson,Traer Municipal Electric Utility,Goldwind,1,2011,3,7 - 7.5,7.5 - 8,
Traverse City Light & Power,In Service,0.6,Traverse City MI,Traverse City Light & Power,Traverse City Light & Power,Traverse City Light & Power,Vestas,1,1996,3,6.5 - 7,6.5 - 7,
Trent Mesa Wind Farm,In Service,150,Nolan and Taylor Counties TX,American Electric Power Co. Inc.,American Electric Power Co. Inc.,TXU Electric & Gas,GE Energy,100,2001,4,8 - 8.5,8.5 - 9,
Tres Vaqueros I,In Service,28.05,Altamont Pass CA,,International Wind Companies,Pacific Gas & Electric Co,Howden,85,0,4,6.5 - 7,6.5 - 7,
Tres Vaqueros II,In Service,0.75,Altamont Pass CA,,International Wind Companies,Pacific Gas & Electric Co,Howden,1,0,4,6.5 - 7,6.5 - 7,
Trimont Area Wind Farm,In Service,100.5,Southwest MN MN,PPM Energy Inc,PPM Energy Inc,Great River Energy,GE Energy,67,2005,4,8 - 8.5,8 - 8.5,
Tuana Gulch Wind Park,In Service,10.5,Twin Falls County ID,Exergy,Exergy,Idaho Power,GE Energy,7,2010,3,6 - 6.5,6.5 - 7,
Tuana Springs Wind Farm,In Service,16.8,Twin Falls County ID,John Deere Wind,John Deere Wind,Idaho Power,Suzlon Energy Company,8,2010,3,6 - 6.5,6.5 - 7,
Turkey Track Wind Farm,In Service,169.5,Nolan TX,CanTex Energy,Wind Tex Energy LP,,GE Energy,113,2008,4,7.5 - 8,8 - 8.5,
Turtle Mountain Community College,In Service,0.66,St. John ND,Turtle Mountain Community College,Distributed Gen,Turtle Mountain Community College,Vestas,1,2008,5,6.5 - 7,7 - 7.5,
Turtle Mountain,In Service,0.1,Belcourt ND,Turtle Mountain Chippewa,,Turtle Mountain Chippewa,NEG Micon,1,1997,5,7 - 7.5,7.5 - 8,
Tuscola Bay Wind,In Service,120,Fairgrove MI,NextEra Energy Resources,NextEra Energy Resources,Detroit Edison,GE Energy,75,2012,3,6.5 - 7,7 - 7.5,
Twin Buttes,In Service,75,Prowers County CO,,PPM Energy Inc,Xcel Energy,GE Energy,50,2007,4,8 - 8.5,8.5 - 9,
Twin Groves I,In Service,198,McLean County IL,,Horizon Wind Energy,,Vestas,120,2007,4,7 - 7.5,7.5 - 8,
Twin Groves II (07),In Service,161.7,McLean County IL,Horizon Wind Energy,Horizon Wind Energy,Constellation Energy,Vestas,98,2007,4,7 - 7.5,7.5 - 8,
Twin Groves II (08),In Service,36.3,McLean County IL,Horizon Wind Energy,Horizon Wind Energy,Constellation Energy,Vestas,22,2008,4,7 - 7.5,7.5 - 8,
U.S. Marine Corp Logistics Base,In Service,1.5,Barstow CA,,,,AAER,1,2009,3,6.5 - 7,7 - 7.5,
Uilk Wind Farm,In Service,4.5,West of Pipestone MN,,Uilk Wind Farm,Xcel Energy,Goldwind,3,2009,4,8 - 8.5,8.5 - 9,
University of Delaware Wind,In Service,2,Lewes DE,University of Delaware,First Marine Wind,University of Delaware,Gamesa,1,2010,3,6 - 6.5,6 - 6.5,
University of Minnesota -- Morris,In Service,1.65,Morris MN,University of Minnesota -- Morris,University of Minnesota -- Morris,University of Minnesota -- Morris,Vestas,1,2005,3,7 - 7.5,7.5 - 8,
University of Minnesota Morris II - PES,In Service,1.65,Morris MN,University of Minnesota - Morris,University of Minnesota - Morris,University of Minnesota - Morris / Otter Tail Power,Vestas,1,2011,4,7 - 7.5,7.5 - 8,
Upper Scioto Valley School,In Service,0.2,McGuffey OH,Upper Scioto Valley Schools,,Upper Scioto Valley Schools,Northern Power Systems,2,2009,3,6.5 - 7,7 - 7.5,
Valley View,In Service,10,Outside Chandler MN,Juhl Wind,Valley View Transmission,Xcel Energy,Gamesa,5,2011,4,8 - 8.5,8.5 - 9,
Vansycle Ridge II,In Service,98.9,OR,NextEra Energy Resources,NextEra Energy Resources,,Siemens,43,2009,2,6 - 6.5,6 - 6.5,
Vansycle Ridge,In Service,25.08,North of Helix OR,NextEra Energy Resources,NextEra Energy Resources,Portland General Electric,Vestas,38,1998,5,7 - 7.5,7 - 7.5,
Vantage Wind Energy Center,In Service,103.5,East of Ellensburg between Vantage Highway and I90,Invenergy,Invenergy,Pacific Gas & Electric Co,GE Energy,69,2010,3,6 - 6.5,6 - 6.5,
Velva Wind Farm,In Service,11.88,McHenry County ND,Acciona Energy,Global Renewable Energy Partners/Acciona Energy,Xcel Energy,Vestas,18,2006,4,7 - 7.5,7.5 - 8,
Venture Wind I,In Service,1.2,Altamont Pass CA,SeaWest,SeaWest,Pacific Gas & Electric Co,Various,12,0,4,6.5 - 7,6.5 - 7,
Venture Wind II,In Service,1.69,Altamont Pass CA,SeaWest,Seawest,Pacific Gas & Electric Co,Various,26,0,4,6.5 - 7,6.5 - 7,
Victorville Wind Project,In Service,0.75,Victorville Federal Correctional Complex CA,NORESCO,NORESCO,Victorville Prison,Vestas,1,2005,2,5.5 - 6,5.5 - 6,
Victory Garden,In Service,6,Tehachapi CA,Caithness,Caithness,Southern California Edison Co,Zond,8,2005,7,9 - 9.5,9 - 9.5,
Victory Garden,In Service,0.66,Tehachapi CA,Caithness,Caithness,Southern California Edison Co,Vestas,1,2005,7,9 - 9.5,9 - 9.5,
Victory Gardens I and IV,In Service,1,Tehachapi CA,,Zond Systems,Southern California Edison Co,Vestas,2,0,7,9 - 9.5,9 - 9.5,
Victory Gardens- Phase IV,In Service,1.32,Tehachapi CA,NextEra Energy Resources,Zond Systems,Southern California Edison Co,Vestas,2,1990,7,9 - 9.5,9 - 9.5,
Victory Gardens- Phase IV,In Service,21.15,Tehachapi CA,NextEra Energy Resources,Zond Systems,Southern California Edison Co,Vestas,94,1990,7,9 - 9.5,9 - 9.5,
Victory Wind Farm,In Service,99,Carroll and Crawford Counties IA,MidAmerican Energy,Invenergy,MidAmerican Energy,GE Energy,66,2006,4,8 - 8.5,8.5 - 9,
Vienna,In Service,105.75,Marshalltown IA,MidAmerican Energy,RPM Access Wind Development,MidAmerican Energy,Siemens,45,2012,4,7 - 7.5,7.5 - 8,
Viking Energy '83,In Service,1.69,Altamont Pass CA,SeaWest,SeaWest,Pacific Gas & Electric Co,Micon,26,1983,4,6.5 - 7,6.5 - 7,
Viking Wind Farm,In Service,12,Murray County MN,EnXco - part ownership,EnXco,Xcel Energy,GE Energy,8,2003,4,8 - 8.5,8.5 - 9,
Village of Cascade,In Service,0.2,Cascade WI,Village of Cascade,,Village of Cascade,Northern Power Systems,2,2010,2,6.5 - 7,7 - 7.5,
WPS Wind Farm,In Service,9.24,Lincoln in Kewaunee County WI,Wisconsin Public Service Co.,Wisconsin Public Service Co.,Wisconsin Public Service Co.,Vestas,14,1999,3,6.5 - 7,7 - 7.5,
Wagner,In Service,6,Palm Springs CA,WKN USA LLC,WKN USA LLC,Undisclosed PPA,Vestas,2,2012,7,7.5 - 8,8 - 8.5,
Wall Lake Municipal Utilities,In Service,0.66,Wall Lake IA,Wall Lake Municipal Utilities,Wall Lake Municipal Utilities,Wall Lake Municipal Utilities,Vestas,1,2003,4,7.5 - 8,8 - 8.5,
Wallys Wind Farm,In Service,1.25,Lake Benton MN,Wallys Wind Farm LLC,,Xcel Energy,Suzlon Energy Company,1.25,2006,5,8 - 8.5,8.5 - 9,
Walmart Red Bluff,In Service,1.5,Red Bluff CA,Foundation Windpower,Foundation Windpower,Walmart,GE Energy,1,2012,2,5 - 5.5,5 - 5.5,
Walnut Wind Project,In Service,153,Pottawattamie County IA,MidAmerican Energy,EnXco,MidAmerican Energy,GE Energy,102,2008,4,7.5 - 8,8 - 8.5,
Wapsipinicon Wind,In Service,100.5,Mower County MN,EnXco,EnXco,SMMPA,GE Energy,67,2008,4,8 - 8.5,8.5 - 9,
Waverly III,In Service,0.9,Waverly IA,Waverly Light & Power,Waverly Light & Power,Waverly Light & Power,NEG Micon,1,2001,3,6.5 - 7,7 - 7.5,
Waverly,In Service,1.5,Waverly IA,Waverly Light & Power,GE Energy,Waverly Light & Power,Zond,2,1999,3,6.5 - 7,7 - 7.5,
Waymart Wind Farm,In Service,64.5,Wayne County PA,NextEra Energy Resources,Atlantic Renewable Energy,Exelon,GE Energy,43,2003,4,5 - 5.5,5.5 - 6,
Weatherford Wind Energy Center,In Service,147,Weatherford OK,NextEra Energy Resources,NextEra Energy Resources,American Electric Power Co. Inc.,GE Energy,98,2005,5,8 - 8.5,8 - 8.5,
Wege Wind Farm,In Service,10,Panhandle TX,John Deere Wind,Steelcase and John Deere Wind,Southwestern Public Service,Suzlon Energy Company,8,2008,4,8.5 - 9,9 - 9.5,
Wessington Springs Wind Energy Center,In Service,51,Southwest of Wessington Springs SD,Babcock & Brown,Babcock & Brown,Heartland Consumers Power District,GE Energy,34,2009,6,7.5 - 8,8 - 8.5,
West Central School Corp,In Service,0.9,Francesville IN,West Central School Corp,Performance Services,Net-metered,PowerWind,1,2012,3,7 - 7.5,7 - 7.5,
West Stevens Wind,Under Construction,20,3 miles northwest of Chokio MN,,West Stevens Wind,,,13,0,4,7.5 - 8,7.5 - 8,
West Winds,In Service,43.4,San Gorgonio CA,Caithness,SeaWest,Southern California Edison/PacifiCorp,NEG Micon,62,1999,4,8 - 8.5,8 - 8.5,
Westridge,In Service,17.1,Various MN,Edison Mission Group,Farmers' cooperatives with Dan Juhl,Xcel Energy/Great River Energy,Suzlon Energy Company,18,2003,5,8.5 - 9,9 - 9.5,
Westwind Trust,In Service,15.7,San Gorgonio CA,,,Southern California Edison Co,Various,167,0,4,8 - 8.5,8 - 8.5,
Westwind-PacifiCorp,In Service,1.5,San Gorgonio CA,PacifiCorp,SeaWest,Southern California Edison/PacifiCorp,NEG Micon,2,1999,4,8 - 8.5,8 - 8.5,
Wethersfield Wind Power,In Service,6.6,WY County NY,Enel North America,Western NY Wind Power Partners,Niagara Mohawk,Vestas,10,2000,3,6.5 - 7,7 - 7.5,
Wheatfield Wind Farm,In Service,96.6,Gilliam County west of Arlington OR,Horizon,Horizon,Snohomish County Public Utility District,Suzlon Energy Company,46,2009,3,6 - 6.5,6.5 - 7,
Whirlwind Energy Center,In Service,59.8,East of Floydada TX,,RES America,Austin Energy,Siemens,26,2007,4,8.5 - 9,9 - 9.5,
Whispering Willow I,In Service,199.65,Franklin County IA,Alliant (IP&L),Alliant (IP&L),Alliant (IP&L),Vestas,121,2009,4,7.5 - 8,8 - 8.5,
White Creek Wind Power Project,In Service,204.7,Klickitat County,Last Mile Electric Cooperative,Last Mile Electric Cooperative,Last Mile Electric Cooperative,Siemens,89,2007,4,6 - 6.5,6.5 - 7,
White Oak Wind Energy Center,In Service,150,Northwest of Bloomington near Carlock IL,NextEra Energy Resources,Invenergy,TVA,GE Energy,100,2011,4,7 - 7.5,7.5 - 8,
White Tail,In Service,91,Oilton TX,Exelon Wind,MAP Royalty,Austin Energy,GE Energy,57,2012,2,7 - 7.5,7.5 - 8,
Whitewater Hill,In Service,61.5,San Gorgonio CA,,Cannon Power Corp.,L.A. Department of Water Resources,GE Energy,41,2002,4,8 - 8.5,8 - 8.5,
Whitewater Hill,In Service,4.5,San Gorgonio CA,Cannon Power Corp.,Cannon Power Corp.,Los Angeles Department of Water Resources/SDG&E,GE Energy,3,2003,4,8 - 8.5,8 - 8.5,
Wild Horse II,In Service,44,Kittitas County,Puget Sound Energy,Puget Sound Energy,Puget Sound Energy,Vestas,22,2009,6,7 - 7.5,7 - 7.5,
Wild Horse Wind Power Project,In Service,228.6,Kittitas County,Puget Sound Energy,Horizon Wind Energy,Puget Sound Energy,Vestas,127,2006,6,7 - 7.5,7 - 7.5,
Wildcat 1 Wind Project,In Service,200,North of Elwood IN,E.ON Climate & Renewables North America,E.ON Climate & Renewables North America,Indiana Michigan Power,GE Energy,125,2012,3,7 - 7.5,7 - 7.5,
Wildcat Ridge Wind Farm,Proposed,1500,Banner County NE,Midwest Wind Energy,Midwest Wind Energy,,Undetermined,100,0,3,8 - 8.5,8.5 - 9,
Wildcat Wind Project,In Service,27.3,Lovington NM,Exelon Wind,Kairos Energy,,Suzlon Energy Company,13,2012,3,7.5 - 8,8 - 8.5,
Wildorado Wind Ranch,In Service,161,Oldham TX,Edison Mission Group,Cielo Wind Power,Xcel Energy,Siemens,70,2007,4,9 - 9.5,9 - 9.5,
Williams Stone Wind Turbine,In Service,0.6,Otis MA,Williams Stone,Sustainable Energy Developments,Williams Stone,Vestas,1,2009,2,6 - 6.5,6 - 6.5,
Willmar Wind,In Service,4,Willmar MN,Willmar Municipal Utilities,Willmar Municipal Utilities,Willmar Municipal Utilities,DeWind,2,2009,3,7 - 7.5,7.5 - 8,
Willow Creek,In Service,70,Morrow County OR,Invenergy,Invenergy,,GE Energy,35,2009,3,5.5 - 6,6 - 6.5,
Wilmont Hills,In Service,1.5,Nobles County MN,Northern Alternative Energy,Northern Alternative Energy,Alliant Energy,NEG Micon,1,2001,4,8.5 - 9,8.5 - 9,
Wilton Wind Energy Center I,In Service,49.5,Wilton ND,NextEra Energy Resources,Florida Power & Light Co.,Basin Electric,GE Energy,33,2006,4,8 - 8.5,8.5 - 9,
Wilton Wind Energy Center I,In Service,49.5,Burleigh County ND,NextEra Energy Resources,NextEra Energy Resources,Basin Electric,GE Energy,33,2006,5,8 - 8.5,8.5 - 9,
Wilton Wind Energy Center II,In Service,49.5,Wilton ND,NextEra Energy Resources,Florida Power & Light Co.,Basin Electric,GE Energy,33,2009,4,8 - 8.5,8.5 - 9,
Wilton Wind Energy Center II,In Service,49.5,Burleigh County ND,NextEra Energy Resources,NextEra Energy Resources,Basin Electric,GE Energy,33,2009,5,8 - 8.5,8.5 - 9,
Wind Power Partners '90-'92,In Service,96.7,Altamont Pass CA,NextEra Energy Resources,Kenetech,Pacific Gas & Electric Co,Kenetech,967,1992,4,6.5 - 7,6.5 - 7,
Wind Power Partners '94,In Service,39.78,Culberson County TX,NextEra Energy Resources,Kenetech Wind Power,Lower Colorado River Authority,Kenetech,109,1994,1,7.5 - 8,7.5 - 8,
Wind Turbine Co. test,In Service,0.5,Los Angeles County CA,,Wind Turbine Co.,Southern California Edison Co,Wind Turbine Co.,1,2001,1,4 - 4.5,4 - 4.5,
Wind Walkers,In Service,1.6,Waukon IA,5045 Wind Partners,5045 Wind Partners,Alliant Energy,GE Energy,1,2011,3,7 - 7.5,7.5 - 8,
Windland (Boxcar II),In Service,14.3,Tehachapi CA,Windland- Inc.,Windland- Inc.,Southern California Edison Co,Various,111,0,7,9 - 9.5,9 - 9.5,
Windridge,In Service,2.34,Tehachapi CA,,Windridge,Southern California Edison Co,Windmatic,36,0,7,9 - 9.5,9 - 9.5,
Windstar,In Service,120,Mojave CA,Western Wind Energy Corp,Western Wind Energy Corp,Southern California Edison Co,Gamesa,60,2012,4,7 - 7.5,7 - 7.5,
Windway Technologies,In Service,0.25,Joice IA,Northwood-Kensett School,Windway Technologies,Alliant/IES Utilities,Nordex,1,1998,4,7.5 - 8,8 - 8.5,
Windy Flats,In Service,172.5,North shore of Columbia River,Cannon Power Group,Cannon Power Group,,Siemens,74,2009,2,5 - 5.5,5.5 - 6,
Windy Flats IIa extension,In Service,59.8,North shore of Columbia River,Cannon Power Group,Cannon Power Group,,Siemens,26,2009,2,5 - 5.5,5.5 - 6,
Windy Flats Phase III,Proposed,100,Goldendale WA,Cannon Power Group,Cannon Power Group,,TBD,0,0,3,5 - 5.5,5.5 - 6,
Windy Flats(3Q09 portion),In Service,29.9,North shore of Columbia River,Cannon Power Group,Cannon Power Group,,Siemens,13,2009,2,5 - 5.5,5.5 - 6,
Windy Point (08),In Service,8,,Cannon,Cannon,Puget Sound Energy,REPower,4,2008,2,5 - 5.5,5 - 5.5,
Windy Point - REpower (09),In Service,40,North shore of Columbia River,Cannon/Tuolumne Wind Project Authority,Cannon/Tuolumne Wind Project Authority,Turlock Irrigation District and Walnut Energy Center Authority,REpower,20,2009,2,5 - 5.5,5.5 - 6,
Windy Point - Siemens,In Service,96.6,North shore of Columbia River,Cannon/Tuolumne Wind Project Authority,Cannon/Tuolumne Wind Project Authority,Turlock Irrigation District and Walnut Energy Center Authority,Siemens,42,2009,2,5 - 5.5,5.5 - 6,
Wing River Wind,In Service,2.5,Hewitt MN,Wing River Wind Farm,Wing River Wind Farm,,Nordex,1,2007,3,6.5 - 7,7 - 7.5,
Winnebago I,In Service,20,Winnebago County IA,Iberdrola Renewables,Iberdrola Renewables,Dairyland Power,Gamesa,10,2008,4,7.5 - 8,8 - 8.5,
Winona County Wind,In Service,1.5,3 miles northwest of Altura MN,Juhl Wind,Juhl Wind,NSP/Xcel Energy,Unison,2,2011,2,6 - 6.5,6.5 - 7,
